Huber, Patrick, 1961-07-08, M, LEICHTATHLETIK
Kastner, Thorsten, 1966-10-02, M, LEICHTATHLETIK
Schweizer, Stephan, 1974-02-18, M, FECHTEN
Nacht, Eric, 1936-08-11, M, SCHWIMMEN
Dresner, Wolfgang, 1925-03-25, M, TURNEN
Wexler, Michael, 1940-02-29, M, TANZEN
Meister, Jana, 1977-06-29, F, HANDBALL
Klug, Thomas, 1983-04-01, M, RUDERN
Zimmerman, Jan, 1959-10-17, M, TURNEN
Abend, Birgit, 1985-01-10, F, RADSPORT
Freytag, Daniel, 1992-04-26, M, LEICHTATHLETIK
Muller, Jens, 1927-04-02, M, FUSSBALL
Moench, Thorsten, 1918-08-28, M, TURNEN
Rothschild, Jonas, 1924-04-23, M, TANZEN
Gottlieb, Eric, 1980-10-08, M, HANDBALL
Freeh, Mario, 1980-02-27, M, HANDBALL
Schroeder, Jonas, 1996-01-17, M, RUDERN
Wannemaker, Manuela, 1935-08-03, F, TANZEN
Baumgaertner, Leon, 1953-10-31, M, HANDBALL
Krueger, Nicole, 1955-03-12, F, LEICHTATHLETIK
Bader, Ulrich, 1961-04-05, M, RUDERN
Beyer, Susanne, 1983-01-21, F, RADSPORT
Muller, Jens, 1971-01-01, M, REITEN
Ritter, Martin, 1925-07-15, M, REITEN
Daecher, Daniel, 1989-03-26, M, FUSSBALL
Vogler, Martin, 1949-02-02, M, LEICHTATHLETIK
Gloeckner, Dennis, 1926-06-26, M, RADSPORT
Himmel, Bernd, 1937-12-11, M, RADSPORT
Kuster, Steffen, 1984-10-05, M, RUDERN
Lowe, Tanja, 1918-08-18, F, FECHTEN
Urner, Patrick, 1937-12-18, M, RADSPORT
Weber, Angelika, 1974-06-05, F, TURNEN
Himmel, Luca, 1980-04-18, M, TANZEN
Zimmerman, Martin, 1981-02-23, M, FECHTEN
Mueller, Rene, 1989-06-01, M, FUSSBALL
Maier, Mario, 1955-05-15, M, RUDERN
Hertzog, Annett, 1947-06-07, F, SCHWIMMEN
Fink, Bernd, 1985-10-22, M, LEICHTATHLETIK
Kohl, Mathias, 1938-05-26, M, SCHWIMMEN
Gerber, Manuela, 1977-10-06, F, TURNEN
Kirsch, Christian, 1935-01-27, M, SCHWIMMEN
Kruger, Leah, 1952-05-02, F, TANZEN
Frey, Alexander, 1966-04-07, M, SCHWIMMEN
Eggers, David, 1984-05-15, M, RUDERN
Pfeffer, Michael, 1994-03-14, M, SCHWIMMEN
Meier, Dominik, 1994-01-08, M, RUDERN
Wirth, Erik, 1958-02-03, M, RADSPORT
Maurer, Jana, 1941-02-12, F, SCHWIMMEN
Mayer, Mathias, 1926-10-27, M, HANDBALL
Kuhn, Silke, 1992-07-10, F, TANZEN
Krueger, Lucas, 1953-05-07, M, LEICHTATHLETIK
Nadel, Luca, 1990-11-08, M, REITEN
Bayer, Joerg, 1995-08-20, M, TANZEN
Fiedler, Simone, 1955-06-16, F, FECHTEN
Thalberg, Wolfgang, 1996-09-19, M, FECHTEN
Eberhardt, Tobias, 1926-12-20, M, FUSSBALL
Baum, Erik, 1936-10-08, M, RUDERN
Traugott, Sebastian, 1950-02-02, M, SCHWIMMEN
Kaestner, Joerg, 1917-08-03, M, FECHTEN
Papst, Martin, 1997-01-03, M, SCHWIMMEN
Fenstermacher, Sven, 1932-02-04, M, RUDERN
Kuester, Martina, 1947-06-26, F, TANZEN
Oster, Ulrich, 1937-07-09, M, SCHWIMMEN
Kaufmann, Stephanie, 1920-09-21, F, TANZEN
Koenig, Swen, 1948-03-20, M, FECHTEN
Klein, Tanja, 1936-12-08, F, TANZEN
Wannemaker, Torsten, 1945-10-17, M, TANZEN
Theissen, Mario, 1994-04-30, M, TANZEN
Buerger, Niklas, 1948-05-03, M, RADSPORT
Bader, Ralph, 1925-05-19, M, TURNEN
Sommer, Robert, 1971-09-17, M, LEICHTATHLETIK
Scherer, David, 1969-10-31, M, RUDERN
Feierabend, Karin, 1971-01-27, F, TANZEN
Strauss, Dieter, 1962-07-30, M, FUSSBALL
Seiler, Nicole, 1951-12-02, F, HANDBALL
Meister, Klaus, 1918-09-27, M, RUDERN
Gersten, Manuela, 1995-03-10, F, HANDBALL
Austerlitz, Florian, 1950-07-11, M, RADSPORT
Shuster, Stefanie, 1935-04-13, F, HANDBALL
Wolf, Maria, 1979-02-13, F, REITEN
Furst, Christin, 1931-06-13, F, RUDERN
Pfeiffer, Monika, 1940-02-14, F, FECHTEN
Wagner, Luca, 1968-06-11, M, FECHTEN
Freytag, Janina, 1941-01-03, F, REITEN
Kalb, Tobias, 1975-07-18, M, HANDBALL
Frey, Claudia, 1967-03-07, F, LEICHTATHLETIK
Wurfel, Leonie, 1931-01-26, F, RUDERN
Shuster, Melanie, 1991-08-31, F, REITEN
Propst, Juliane, 1935-10-30, F, TANZEN
Luft, Andreas, 1971-11-13, M, FUSSBALL
Mahler, Angelika, 1982-09-24, F, FECHTEN
Frey, Annett, 1932-08-24, F, RADSPORT
Goldschmidt, Heike, 1924-01-03, F, TURNEN
Jaeger, Barbara, 1964-12-11, F, LEICHTATHLETIK
Baum, Julia, 1949-06-20, F, TANZEN
Shuster, Sophia, 1949-08-03, F, TURNEN
Gaertner, Frank, 1933-10-16, M, TURNEN
Braun, Lucas, 1930-04-30, M, RADSPORT
Herz, Patrick, 1993-05-24, M, HANDBALL
Rothstein, Torsten, 1944-02-05, M, FECHTEN
Kastner, Sophia, 1975-01-14, F, RUDERN
Baer, Uta, 1988-06-27, F, TURNEN
Shuster, Sarah, 1949-10-09, F, FUSSBALL
Zimmerman, Nadine, 1976-02-26, F, TURNEN
Lange, Maximilian, 1951-10-17, M, RADSPORT
Zimmer, Joerg, 1953-12-12, M, REITEN
Wagner, Marina, 1956-01-07, F, FECHTEN
Schroeder, Barbara, 1976-05-14, F, LEICHTATHLETIK
Wirth, Sebastian, 1974-08-30, M, HANDBALL
Wirtz, Steffen, 1973-11-08, M, FECHTEN
Bieber, Marie, 1985-06-22, F, FECHTEN
Faber, Leah, 1953-02-08, F, REITEN
Bieber, Dominik, 1985-10-16, M, RUDERN
Pfaff, Sebastian, 1927-12-20, M, TURNEN
Kuster, Thorsten, 1976-04-12, M, SCHWIMMEN
Osterhagen, Jessica, 1972-11-09, F, REITEN
Wagner, Franziska, 1952-07-18, F, TANZEN
Propst, Christina, 1991-08-23, F, TURNEN
Luft, Benjamin, 1924-03-19, M, SCHWIMMEN
Wagner, Franziska, 1921-01-22, F, FUSSBALL
Kaestner, Silke, 1976-09-16, F, SCHWIMMEN
Beich, Steffen, 1981-04-16, M, RUDERN
Muller, Sophie, 1998-08-31, F, RUDERN
Junker, David, 1929-05-20, M, SCHWIMMEN
Beich, Sabrina, 1967-01-21, F, FUSSBALL
Holzman, Max, 1993-11-22, M, RADSPORT
Faust, Marie, 1958-04-22, F, HANDBALL
Furst, Leon, 1944-11-21, M, REITEN
Bohm, Sabrina, 1979-11-07, F, HANDBALL
Bar, Leonie, 1961-05-03, F, RUDERN
Ebersbacher, Thomas, 1925-02-18, M, TANZEN
Bader, Yvonne, 1981-08-16, F, HANDBALL
Herman, Kerstin, 1988-08-22, F, RUDERN
Zweig, Ralf, 1933-06-26, M, FECHTEN
Ritter, Luca, 1999-01-01, M, RADSPORT
Muench, Tim, 1923-07-17, M, FECHTEN
Koenig, Kevin, 1931-07-21, M, SCHWIMMEN
Gaertner, Tom, 1951-02-22, M, HANDBALL
Wannemaker, Karolin, 1952-03-24, F, TANZEN
Sommer, Max, 1923-05-03, M, FECHTEN
Holzman, Katharina, 1948-02-10, F, REITEN
Wagner, Antje, 1949-12-06, F, FUSSBALL
Frankfurter, Stefanie, 1980-05-21, F, FECHTEN
Baecker, Karin, 1929-09-23, F, LEICHTATHLETIK
Freud, Klaus, 1927-03-22, M, RUDERN
Schmidt, Nicole, 1921-03-11, F, SCHWIMMEN
Urner, Ralf, 1964-01-26, M, RUDERN
Roth, Tom, 1932-10-28, M, HANDBALL
Blau, Susanne, 1971-05-27, F, TURNEN
Brauer, Mario, 1943-01-10, M, FECHTEN
Neudorf, Jens, 1951-02-17, M, REITEN
Koenig, Ralf, 1973-12-14, M, LEICHTATHLETIK
Kastner, Sophie, 1958-02-09, F, HANDBALL
Lemann, Gabriele, 1964-01-16, F, TURNEN
Weiss, Phillipp, 1989-07-16, M, LEICHTATHLETIK
Naumann, Torsten, 1949-04-17, M, FUSSBALL
Fiedler, Stephanie, 1919-08-27, F, HANDBALL
Werfel, Sara, 1921-02-01, F, LEICHTATHLETIK
Cole, Marie, 1945-05-17, F, FECHTEN
Mueller, Sandra, 1976-01-08, F, FECHTEN
Friedmann, Sarah, 1968-07-05, F, FECHTEN
Fink, Patrick, 1941-10-09, M, RUDERN
Aachen, Dennis, 1971-11-28, M, LEICHTATHLETIK
Abendroth, Eric, 1935-12-04, M, FUSSBALL
Herman, Lisa, 1933-09-25, F, RUDERN
Grunewald, Bernd, 1979-12-06, M, TANZEN
Rothschild, Anna, 1942-06-11, F, TURNEN
Kuefer, Marie, 1945-10-16, F, RUDERN
Wirtz, Frank, 1979-05-17, M, TURNEN
Sankt, Anna, 1970-09-01, F, REITEN
Reiniger, Torsten, 1965-05-11, M, SCHWIMMEN
Feierabend, Patrick, 1960-04-08, M, FUSSBALL
Mayer, Lucas, 1997-04-07, M, LEICHTATHLETIK
Decker, Erik, 1991-06-29, M, HANDBALL
Bachmeier, Max, 1923-08-17, M, FECHTEN
Thalberg, Wolfgang, 1921-01-23, M, SCHWIMMEN
Holtzmann, Daniel, 1971-12-21, M, REITEN
Baader, Anke, 1999-06-08, F, TANZEN
Shuster, Juliane, 1978-12-03, F, RUDERN
Gaertner, Phillipp, 1977-12-25, M, TURNEN
Richter, Stephan, 1952-10-20, M, LEICHTATHLETIK
Sommer, Dieter, 1961-04-13, M, REITEN
Schweitzer, Martin, 1929-04-30, M, RADSPORT
Finkel, Luca, 1947-02-03, M, SCHWIMMEN
Burger, Nadine, 1936-08-14, F, REITEN
Holtzmann, Luca, 1975-02-18, M, RUDERN
Vogel, Jana, 1986-02-06, F, LEICHTATHLETIK
Theiss, Mike, 1965-07-25, M, SCHWIMMEN
Werner, Bernd, 1951-06-29, M, FECHTEN
Kuefer, Thomas, 1933-05-23, M, TURNEN
Schroeder, Marco, 1997-02-08, M, RUDERN
Gottlieb, Philipp, 1954-12-30, M, HANDBALL
Zimmermann, Sophie, 1978-09-18, F, SCHWIMMEN
Hueber, Sarah, 1949-10-22, F, SCHWIMMEN
Freitag, Peter, 1969-09-14, M, FUSSBALL
Beike, Thomas, 1976-09-09, M, LEICHTATHLETIK
Baer, Johanna, 1987-01-30, F, FECHTEN
Schmidt, Christine, 1975-08-01, F, FECHTEN
Beckenbauer, Jens, 1963-04-25, M, TANZEN
Kuhn, Lisa, 1954-01-12, F, REITEN
Gerber, Kristian, 1975-02-10, M, RUDERN
Gersten, Nicole, 1946-09-14, F, SCHWIMMEN
Fried, Patrick, 1988-07-03, M, TURNEN
Propst, Karin, 1983-08-21, F, FECHTEN
Schuster, Marcel, 1932-02-19, M, HANDBALL
Trommler, Karolin, 1964-03-14, F, RUDERN
Sankt, Luca, 1933-12-24, M, RUDERN
Hoffmann, Robert, 1968-09-30, M, RADSPORT
Brauer, Mario, 1944-11-07, M, FECHTEN
Hoch, Annett, 1945-01-06, F, REITEN
Friedmann, Uwe, 1936-11-11, M, FUSSBALL
Schultheiss, Silke, 1922-11-14, F, RUDERN
Kortig, Felix, 1947-06-14, M, RUDERN
Dresner, Andrea, 1992-08-03, F, HANDBALL
Ehrlichmann, Lukas, 1983-03-13, M, REITEN
Schaefer, Paul, 1943-06-11, M, SCHWIMMEN
Weisz, Tobias, 1982-12-17, M, HANDBALL
Fassbinder, Jan, 1977-03-30, M, REITEN
Baumgartner, Markus, 1948-02-16, M, SCHWIMMEN
Goldschmidt, Sabine, 1917-09-10, F, RADSPORT
Baier, Felix, 1939-02-20, M, RADSPORT
Gersten, Ralf, 1968-12-30, M, FECHTEN
Herzog, Peter, 1998-08-14, M, REITEN
Burger, Petra, 1947-06-09, F, HANDBALL
Schuhmacher, Johanna, 1990-07-02, F, TANZEN
Bayer, Marko, 1947-07-01, M, REITEN
Huber, Juliane, 1965-01-29, F, LEICHTATHLETIK
Propst, Niklas, 1965-05-28, M, TURNEN
Wagner, Silke, 1952-02-01, F, RADSPORT
Farber, Janina, 1979-01-08, F, LEICHTATHLETIK
Beckenbauer, Silke, 1925-03-16, F, RADSPORT
Eisenhauer, Angelika, 1951-09-24, F, RUDERN
Fiedler, Tobias, 1934-04-29, M, RADSPORT
Shuster, Michael, 1960-02-08, M, FUSSBALL
Junker, Julia, 1951-01-18, F, FUSSBALL
Bar, Stefan, 1918-05-11, M, HANDBALL
Schaefer, Erik, 1949-02-10, M, RADSPORT
Herz, Swen, 1981-08-16, M, REITEN
Wechsler, Daniela, 1997-09-29, F, FECHTEN
Brauer, David, 1990-02-15, M, RUDERN
Meister, Sophie, 1978-08-20, F, RADSPORT
Beike, Luca, 1935-04-19, M, REITEN
Baumgartner, Joerg, 1965-04-03, M, RADSPORT
Hofmann, Phillipp, 1920-06-24, M, TANZEN
Friedman, Leonie, 1956-10-31, F, TURNEN
Busch, Kristin, 1976-09-23, F, RADSPORT
Theiss, Leah, 1966-09-07, F, SCHWIMMEN
Shuster, Steffen, 1983-07-24, M, TANZEN
Kohl, Vanessa, 1954-06-01, F, FUSSBALL
Ebersbacher, Jan, 1971-01-02, M, REITEN
Gersten, Susanne, 1991-03-25, F, SCHWIMMEN
Neumann, Claudia, 1989-07-22, F, LEICHTATHLETIK
Gruenewald, Katharina, 1926-10-01, F, RUDERN
Hofmann, Marco, 1964-10-22, M, SCHWIMMEN
Hueber, Ursula, 1943-04-15, F, REITEN
Jung, Rene, 1951-12-19, M, LEICHTATHLETIK
Trommler, Luca, 1989-03-27, M, RADSPORT
Hoch, Jennifer, 1934-12-20, F, TANZEN
Diederich, Daniel, 1960-10-22, M, HANDBALL
Bayer, Jessika, 1970-05-09, F, HANDBALL
Gottschalk, Anke, 1927-01-12, F, HANDBALL
Neustadt, Sophia, 1952-05-25, F, FECHTEN
Schmidt, Dominik, 1966-12-04, M, FUSSBALL
Pfeifer, Stephan, 1925-09-20, M, SCHWIMMEN
Hirsch, Sabine, 1949-10-27, F, RADSPORT
Herzog, Stephan, 1947-07-05, M, SCHWIMMEN
Gottschalk, Annett, 1995-01-07, F, TURNEN
Herrmann, Maik, 1921-09-27, M, HANDBALL
Schulze, Swen, 1939-08-30, M, FECHTEN
Egger, Angelika, 1979-01-12, F, LEICHTATHLETIK
Peters, Paul, 1920-05-17, M, LEICHTATHLETIK
Himmel, Lukas, 1931-10-30, M, FECHTEN
Schneider, Martin, 1969-12-10, M, SCHWIMMEN
Himmel, Leah, 1987-06-19, F, RUDERN
Bergmann, Tobias, 1992-07-03, M, REITEN
Schiffer, Felix, 1942-04-13, M, LEICHTATHLETIK
Freeh, Ralph, 1988-10-25, M, TANZEN
Junker, Heike, 1994-02-19, F, RADSPORT
Gaertner, Annett, 1967-03-02, F, FECHTEN
Muench, Katharina, 1918-12-06, F, FUSSBALL
Beckenbauer, Ralph, 1925-08-25, M, SCHWIMMEN
Sanger, Katja, 1987-08-05, F, RUDERN
Eberhardt, Jessika, 1995-11-04, F, RADSPORT
Bader, Doreen, 1944-04-04, F, FUSSBALL
Wechsler, Matthias, 1949-01-29, M, TURNEN
Bieber, Martin, 1933-01-05, M, FECHTEN
Fuerst, Marko, 1987-12-29, M, SCHWIMMEN
Loewe, Sandra, 1939-01-19, F, FUSSBALL
Gaertner, David, 1962-05-10, M, TURNEN
Hueber, Christin, 1980-05-17, F, HANDBALL
Muller, Sven, 1987-03-08, M, RADSPORT
Faust, Philipp, 1982-04-24, M, REITEN
Frey, Anne, 1972-09-08, F, TURNEN
Drechsler, Andreas, 1952-09-14, M, RUDERN
Bader, Marco, 1996-04-16, M, RADSPORT
Schroeder, Brigitte, 1933-06-30, F, FECHTEN
Weiss, Stefanie, 1945-03-12, F, FUSSBALL
Kortig, Thomas, 1923-04-12, M, TANZEN
Schiffer, Simone, 1975-01-07, F, FECHTEN
Koertig, Franziska, 1988-06-03, F, RADSPORT
Blau, Daniela, 1954-03-20, F, LEICHTATHLETIK
Mauer, Lena, 1943-01-06, F, TANZEN
Hertzog, Maik, 1997-09-27, M, SCHWIMMEN
Beyer, Andrea, 1919-01-18, F, SCHWIMMEN
Pabst, Michael, 1938-04-09, M, LEICHTATHLETIK
Finkel, Julia, 1930-11-05, F, SCHWIMMEN
Bergmann, Thorsten, 1974-12-04, M, RADSPORT
Mauer, Leon, 1933-07-02, M, RUDERN
Ehrlichmann, Doreen, 1945-06-26, F, TURNEN
Oster, Maria, 1924-11-27, F, SCHWIMMEN
Scholz, Ralf, 1940-06-11, M, SCHWIMMEN
Mahler, Angelika, 1968-11-24, F, HANDBALL
Vogler, Mario, 1945-03-24, M, FECHTEN
Braun, Torsten, 1963-12-04, M, RADSPORT
Herz, Yvonne, 1957-05-09, F, FUSSBALL
Weber, Stefanie, 1929-05-07, F, SCHWIMMEN
Freeh, Christian, 1929-06-13, M, RADSPORT
Naumann, Franziska, 1933-05-13, F, FUSSBALL
Lemann, David, 1948-02-25, M, FECHTEN
Engel, Melanie, 1982-11-17, F, REITEN
Koehler, Lena, 1940-04-23, F, FECHTEN
Nagel, Matthias, 1918-12-27, M, FUSSBALL
Wirtz, Felix, 1952-05-17, M, HANDBALL
Lang, Martina, 1969-01-26, F, REITEN
Koertig, Dieter, 1969-10-04, M, LEICHTATHLETIK
Baer, Erik, 1982-08-29, M, HANDBALL
Herman, Rene, 1988-05-29, M, HANDBALL
Metzger, Benjamin, 1953-08-15, M, FUSSBALL
Ebersbach, Johanna, 1933-03-03, F, FUSSBALL
Kuefer, Yvonne, 1980-06-25, F, HANDBALL
Frei, Franziska, 1962-11-22, F, HANDBALL
Fuhrmann, Maximilian, 1971-10-23, M, RUDERN
Nacht, Ulrich, 1926-07-04, M, SCHWIMMEN
Baier, Vanessa, 1935-12-04, F, SCHWIMMEN
Papst, Simone, 1992-05-08, F, SCHWIMMEN
Zimmermann, Dominik, 1957-03-17, M, TURNEN
Wulf, Christina, 1966-05-15, F, FECHTEN
Bachmeier, Marco, 1979-06-11, M, FECHTEN
Koenig, Silke, 1925-01-14, F, LEICHTATHLETIK
Wulf, Angelika, 1929-09-11, F, REITEN
Wechsler, Thorsten, 1931-07-11, M, TANZEN
Sankt, Lucas, 1996-12-29, M, TURNEN
Pfeifer, Steffen, 1951-03-02, M, REITEN
Drescher, Michael, 1971-07-22, M, TANZEN
Freeh, Juergen, 1979-12-21, M, REITEN
Krueger, Kevin, 1985-04-15, M, LEICHTATHLETIK
Koenig, Niklas, 1937-11-08, M, TANZEN
Holzman, Michelle, 1976-01-04, F, RUDERN
Brandt, Erik, 1988-10-08, M, FUSSBALL
Bachmeier, Sven, 1942-09-17, M, FECHTEN
Koehler, Frank, 1941-02-02, M, FECHTEN
Walter, Jan, 1961-03-11, M, TURNEN
Saenger, Swen, 1975-04-13, M, SCHWIMMEN
Schwab, Claudia, 1988-02-10, F, HANDBALL
Ebersbacher, Felix, 1988-07-26, M, HANDBALL
Bayer, Robert, 1988-01-18, M, REITEN
Fuhrmann, Nicole, 1935-12-10, F, FUSSBALL
Freitag, Joerg, 1982-10-26, M, LEICHTATHLETIK
Rothstein, Uwe, 1958-12-15, M, FECHTEN
Nagel, Stefan, 1921-01-03, M, TURNEN
Koertig, Marie, 1937-10-16, F, REITEN
Schmid, Ralf, 1927-08-27, M, FUSSBALL
Himmel, Marco, 1925-09-27, M, HANDBALL
Vogt, Anja, 1933-10-17, F, SCHWIMMEN
Amsel, Dieter, 1993-04-21, M, TURNEN
Diederich, Lena, 1927-03-08, F, TURNEN
Eichelberger, Markus, 1990-05-27, M, LEICHTATHLETIK
Koehler, Leonie, 1989-08-19, F, SCHWIMMEN
Nadel, Brigitte, 1956-12-21, F, RUDERN
Konig, Katharina, 1950-08-16, F, REITEN
Muench, Patrick, 1993-03-17, M, REITEN
Vogler, Ralph, 1966-10-22, M, TURNEN
Koenig, Maria, 1970-02-09, F, SCHWIMMEN
Saenger, Jessica, 1920-08-13, F, TURNEN
Klein, Swen, 1969-05-15, M, LEICHTATHLETIK
Austerlitz, Jana, 1952-09-26, F, RUDERN
Abendroth, Felix, 1943-11-17, M, SCHWIMMEN
Baer, Jens, 1963-09-26, M, REITEN
Wirth, Nicole, 1994-01-31, F, TURNEN
Werfel, Swen, 1988-10-08, M, REITEN
Papst, Peter, 1929-02-27, M, LEICHTATHLETIK
Freitag, Sebastian, 1993-01-04, M, TURNEN
Biermann, Klaudia, 1929-09-12, F, REITEN
Rothschild, Ursula, 1988-04-13, F, FECHTEN
Baier, Dominik, 1917-08-21, M, TANZEN
Meier, Dominik, 1950-07-04, M, SCHWIMMEN
Ehrlichmann, Stefan, 1950-01-04, M, FECHTEN
Nacht, Brigitte, 1959-07-20, F, FECHTEN
Hahn, Jonas, 1975-12-31, M, FECHTEN
Osterhagen, Katja, 1925-01-15, F, LEICHTATHLETIK
Nadel, Janina, 1958-02-12, F, REITEN
Eisenhauer, Jan, 1975-04-03, M, HANDBALL
Frey, Karin, 1985-11-02, F, RUDERN
Fink, Marco, 1998-08-28, M, TURNEN
Nussbaum, Anke, 1960-08-12, F, REITEN
Glockner, Torsten, 1958-10-24, M, RUDERN
Reiniger, Andreas, 1971-09-06, M, RUDERN
Friedmann, Matthias, 1987-02-05, M, RUDERN
Schwartz, Juergen, 1995-08-24, M, SCHWIMMEN
Roth, Leon, 1979-03-01, M, HANDBALL
Durr, David, 1983-11-01, M, FECHTEN
Krueger, Peter, 1961-10-02, M, FECHTEN
Hirsch, Sara, 1939-12-06, F, RADSPORT
Fisher, Andreas, 1941-03-23, M, FECHTEN
Wechsler, Stephanie, 1972-04-29, F, TANZEN
Eichel, Barbara, 1918-08-21, F, TURNEN
Kaiser, Ralph, 1940-06-18, M, TURNEN
Hofmann, Paul, 1975-09-25, M, FUSSBALL
Gersten, Steffen, 1933-08-26, M, HANDBALL
Ackermann, Michael, 1923-08-12, M, RUDERN
Foerster, Birgit, 1924-05-05, F, HANDBALL
Unger, Sarah, 1991-02-13, F, RUDERN
Abend, Ulrike, 1941-03-31, F, LEICHTATHLETIK
Hoffmann, Ulrike, 1921-06-26, F, TURNEN
Reinhard, Thorsten, 1994-10-01, M, TANZEN
Drechsler, Brigitte, 1920-07-22, F, FECHTEN
Faerber, Janina, 1951-04-25, F, HANDBALL
Wurfel, Christian, 1959-05-26, M, RUDERN
Koenig, Torsten, 1942-07-07, M, FUSSBALL
Fink, Dieter, 1926-01-20, M, SCHWIMMEN
Sommer, Jens, 1968-11-19, M, RADSPORT
Lange, Christin, 1997-06-12, F, TURNEN
Schmitt, Lena, 1968-10-18, F, LEICHTATHLETIK
Frey, Annett, 1951-07-18, F, FECHTEN
Egger, Stephan, 1988-06-16, M, RADSPORT
Weisz, Thomas, 1945-07-11, M, TANZEN
Koehler, Paul, 1994-12-24, M, HANDBALL
Mayer, Andrea, 1998-06-18, F, HANDBALL
Drescher, Paul, 1998-02-23, M, LEICHTATHLETIK
