Abt, Andreas, 1944-01-02, M, REITEN
Abt, Christin, 1940-11-04, F, LEICHTATHLETIK
Adler, Christian, 1940-05-08, M, HANDBALL
Abend, Christin, 1920-09-09, F, FUSSBALL
Austerlitz, Christian, 1990-03-13, M, TURNEN
Achen, Claudia, 1995-07-14, F, LEICHTATHLETIK
Abend, Claudia, 1951-05-19, F, RADSPORT
Aachen, Christina, 1965-10-20, F, REITEN
Abendroth, Christian, 1928-04-24, M, RUDERN
Ackermann, Christine, 1969-09-25, F, FUSSBALL
Aachen, Christin, 1948-06-30, F, HANDBALL
Achen, Daniel, 1927-10-01, M, HANDBALL
Abend, Daniel, 1980-10-01, M, REITEN
Abend, Doreen, 1981-10-01, F, FUSSBALL
Abend, Dennis, 1995-10-01, M, FUSSBALL
Ackermann, Dieter, 1947-11-01, M, FUSSBALL
Achen, Diana, 1921-02-05, F, RUDERN
Achen, Daniel, 1925-05-05, M, FUSSBALL
Austerlitz, Daniela, 1947-05-05, F, HANDBALL
Amsel, David, 1929-08-06, M, RUDERN
Aachen, Doreen, 1987-01-10, F, FECHTEN
Ackerman, Dennis, 1996-01-10, M, HANDBALL
Abend, Daniela, 1939-02-10, F, SCHWIMMEN
Austerlitz, David, 1990-02-10, M, RADSPORT
Aachen, Doreen, 1987-07-11, F, FUSSBALL
Abt, Dieter, 1960-01-15, M, SCHWIMMEN
Austerlitz, David, 1939-03-16, M, REITEN
Abend, Doreen, 1961-06-16, F, TANZEN
Ackermann, Dennis, 1975-03-21, M, TURNEN
Abendroth, Dominik, 1989-03-21, M, HANDBALL
Amsel, Dieter, 1993-04-21, M, TURNEN
Amsel, David, 1930-06-22, M, LEICHTATHLETIK
Aachen, Dirk, 1923-07-22, M, RUDERN
Abt, Dominik, 1937-07-22, M, RUDERN
Amsel, Doreen, 1948-12-23, F, TURNEN
Ackermann, Dennis, 1984-12-23, M, HANDBALL
Abendroth, Dirk, 1938-01-26, M, TANZEN
Adler, Dieter, 1921-02-26, M, SCHWIMMEN
Abend, Daniela, 1921-05-27, F, FUSSBALL
Austerlitz, Dirk, 1943-05-27, M, RADSPORT
Ackerman, David, 1970-05-27, M, RUDERN
Austerlitz, Daniel, 1922-06-27, M, LEICHTATHLETIK
Amsel, Dominik, 1970-07-27, M, RUDERN
Adler, Daniela, 1980-07-27, F, HANDBALL
Achen, Daniel, 1989-09-28, M, SCHWIMMEN
Abt, Doreen, 1995-09-28, F, LEICHTATHLETIK
Aachen, Dennis, 1971-11-28, M, LEICHTATHLETIK
Adler, Daniel, 1985-11-28, M, RUDERN
Ackerman, Daniela, 1990-11-28, F, LEICHTATHLETIK
Achen, Erik, 1975-04-02, M, TANZEN
Abendroth, Eric, 1935-12-04, M, FUSSBALL
Abend, Erik, 1926-07-08, M, REITEN
Austerlitz, Erik, 1943-10-14, M, RUDERN
Aachen, Eric, 1999-02-18, M, TURNEN
Amsel, Eric, 1993-11-20, M, SCHWIMMEN
Achen, Eric, 1955-05-24, M, HANDBALL
Ackermann, Erik, 1986-11-25, M, TURNEN
Austerlitz, Franziska, 1972-04-05, F, RADSPORT
Ackerman, Frank, 1935-05-05, M, LEICHTATHLETIK
Abendroth, Florian, 1986-06-05, M, RADSPORT
Achen, Frank, 1925-04-10, M, SCHWIMMEN
Austerlitz, Florian, 1950-07-11, M, RADSPORT
Abend, Florian, 1919-09-11, M, TURNEN
Amsel, Felix, 1922-01-15, M, TURNEN
Abendroth, Felix, 1943-11-17, M, SCHWIMMEN
Abend, Franziska, 1932-05-21, F, TURNEN
Ackerman, Felix, 1982-08-27, M, LEICHTATHLETIK
Ackerman, Franziska, 1998-08-27, F, RADSPORT
Abendroth, Franziska, 1981-01-31, F, RUDERN
Adler, Gabriele, 1968-05-02, F, LEICHTATHLETIK
Aachen, Gabriele, 1953-09-19, F, SCHWIMMEN
Ackerman, Heike, 1995-01-03, F, RUDERN
Ackermann, Heike, 1981-09-21, F, TURNEN
Abendroth, Ines, 1997-08-02, F, FUSSBALL
Abt, Ines, 1921-11-08, F, LEICHTATHLETIK
Ackermann, Ines, 1925-08-18, F, FUSSBALL
Austerlitz, Juergen, 1939-02-03, M, RUDERN
Aachen, Jan, 1956-05-04, M, TURNEN
Adler, Jessika, 1937-10-05, F, TURNEN
Austerlitz, Jessica, 1968-11-05, F, RUDERN
Aachen, Jessica, 1979-11-05, F, LEICHTATHLETIK
Abend, Jessika, 1932-12-05, F, FECHTEN
Abend, Jonas, 1921-06-09, M, LEICHTATHLETIK
Adler, Juergen, 1932-06-09, M, FUSSBALL
Abendroth, Jan, 1937-03-14, M, HANDBALL
Achen, Jennifer, 1949-04-14, F, RADSPORT
Ackerman, Jan, 1919-07-15, M, RADSPORT
Abt, Jana, 1986-07-15, F, SCHWIMMEN
Achen, Jessica, 1941-09-15, F, FECHTEN
Abendroth, Jonas, 1945-11-16, M, SCHWIMMEN
Adler, Jana, 1970-11-16, F, LEICHTATHLETIK
Ackermann, Johanna, 1945-12-16, F, RUDERN
Abt, Janina, 1964-12-16, F, SCHWIMMEN
Abt, Joerg, 1976-01-19, M, RADSPORT
Abend, Jana, 1991-01-19, F, SCHWIMMEN
Austerlitz, Jessica, 1927-05-20, F, HANDBALL
Achen, Janina, 1988-05-20, F, REITEN
Ackerman, Jens, 1937-06-20, M, REITEN
Adler, Johanna, 1925-09-21, F, TURNEN
Ackermann, Jonas, 1959-09-21, M, REITEN
Abend, Jessika, 1939-11-21, F, FECHTEN
Abendroth, Jessika, 1989-03-25, F, FECHTEN
Austerlitz, Janina, 1938-07-26, F, TANZEN
Abt, Jens, 1946-08-26, M, REITEN
Austerlitz, Jana, 1952-09-26, F, RUDERN
Ackerman, Jessica, 1955-12-27, F, HANDBALL
Ackerman, Janina, 1995-12-27, F, FUSSBALL
Abend, Jana, 1950-07-31, F, HANDBALL
Amsel, Jonas, 1931-08-31, M, SCHWIMMEN
Ackerman, Jonas, 1962-08-31, M, SCHWIMMEN
Ackerman, Jessica, 1985-08-31, F, SCHWIMMEN
Amsel, Kathrin, 1931-06-01, F, RUDERN
Abend, Karin, 1960-06-01, F, TANZEN
Abendroth, Karin, 1926-10-02, F, TANZEN
Abendroth, Klaudia, 1965-10-02, F, SCHWIMMEN
Adler, Karin, 1993-12-02, F, FECHTEN
Abend, Klaudia, 1971-03-06, F, FUSSBALL
Austerlitz, Klaudia, 1997-03-06, F, RADSPORT
Ackermann, Kathrin, 1945-04-06, F, FECHTEN
Abendroth, Kristian, 1979-09-07, M, TURNEN
Achen, Katharina, 1943-06-12, F, TURNEN
Abend, Kerstin, 1965-06-12, F, RADSPORT
Ackermann, Kerstin, 1975-11-13, F, TANZEN
Austerlitz, Klaudia, 1983-11-13, F, FECHTEN
Ackerman, Karin, 1954-04-17, F, REITEN
Abend, Katharina, 1968-05-17, F, REITEN
Abend, Kristin, 1953-09-18, F, TANZEN
Austerlitz, Karin, 1928-10-18, F, FUSSBALL
Austerlitz, Klaus, 1970-10-18, M, RUDERN
Abt, Katharina, 1928-03-22, F, SCHWIMMEN
Abt, Kristin, 1924-07-23, F, LEICHTATHLETIK
Abendroth, Katharina, 1947-07-23, F, SCHWIMMEN
Aachen, Katrin, 1985-07-23, F, TURNEN
Amsel, Kathrin, 1955-08-23, F, REITEN
Aachen, Klaudia, 1974-08-23, F, TANZEN
Achen, Kevin, 1959-01-27, M, LEICHTATHLETIK
Austerlitz, Klaudia, 1962-05-28, F, FECHTEN
Adler, Klaus, 1963-05-28, M, FECHTEN
Austerlitz, Klaus, 1991-05-28, M, FUSSBALL
Abendroth, Katrin, 1925-06-28, F, HANDBALL
Adler, Karin, 1918-11-29, F, TANZEN
Aachen, Leonie, 1934-02-03, F, TURNEN
Austerlitz, Luca, 1979-08-04, M, REITEN
Aachen, Luca, 1971-01-08, M, FUSSBALL
Abendroth, Lisa, 1940-02-08, F, TANZEN
Ackerman, Lisa, 1989-03-08, F, TURNEN
Abendroth, Luca, 1954-06-09, M, RADSPORT
Austerlitz, Lisa, 1976-06-09, F, RADSPORT
Abendroth, Lukas, 1986-06-09, M, LEICHTATHLETIK
Abt, Leonie, 1990-06-09, F, RUDERN
Ackermann, Laura, 1995-10-10, F, REITEN
Adler, Lucas, 1943-03-14, M, HANDBALL
Aachen, Laura, 1952-04-14, F, RADSPORT
Austerlitz, Laura, 1964-05-14, F, REITEN
Abendroth, Lucas, 1961-08-15, M, REITEN
Abend, Leah, 1995-08-15, F, FECHTEN
Abend, Laura, 1990-06-20, F, SCHWIMMEN
Austerlitz, Luca, 1932-08-20, M, FECHTEN
Adler, Leon, 1960-11-21, M, FUSSBALL
Abend, Lena, 1964-11-21, F, RUDERN
Abendroth, Lucas, 1981-12-21, M, SCHWIMMEN
Ackerman, Lucas, 1954-02-24, M, REITEN
Adler, Leah, 1958-02-24, F, FUSSBALL
Amsel, Luca, 1982-02-24, M, TURNEN
Amsel, Lucas, 1952-05-25, M, FECHTEN
Adler, Leah, 1995-05-25, F, HANDBALL
Adler, Laura, 1970-09-26, F, RADSPORT
Abt, Lukas, 1995-11-26, M, RUDERN
Abend, Leonie, 1955-05-30, F, FUSSBALL
Abend, Leonie, 1935-07-31, F, REITEN
Aachen, Lea, 1938-07-31, F, SCHWIMMEN
Ackerman, Laura, 1920-08-31, F, FUSSBALL
Abend, Leah, 1968-08-31, F, TURNEN
Amsel, Michael, 1939-09-01, M, SCHWIMMEN
Achen, Maximilian, 1967-09-01, M, LEICHTATHLETIK
Abt, Marco, 1940-12-02, M, HANDBALL
Aachen, Marina, 1981-02-05, F, TANZEN
Abend, Martin, 1919-04-06, M, SCHWIMMEN
Abt, Mario, 1946-04-06, M, TURNEN
Aachen, Martina, 1989-05-06, F, RUDERN
Ackermann, Markus, 1918-07-06, M, RADSPORT
Achen, Marko, 1946-07-06, M, TURNEN
Austerlitz, Monika, 1929-09-07, F, HANDBALL
Amsel, Martina, 1965-10-07, F, FUSSBALL
Aachen, Marcel, 1968-10-07, M, HANDBALL
Abend, Max, 1970-07-12, M, HANDBALL
Ackermann, Michael, 1923-08-12, M, RUDERN
Aachen, Martina, 1928-12-13, F, REITEN
Amsel, Michelle, 1940-01-16, F, RUDERN
Adler, Markus, 1939-05-17, M, HANDBALL
Abend, Mathias, 1921-08-17, M, TANZEN
Amsel, Maximilian, 1991-08-17, M, REITEN
Aachen, Manuela, 1994-08-17, F, HANDBALL
Aachen, Maria, 1996-08-17, F, TURNEN
Ackermann, Martin, 1938-10-18, M, TANZEN
Abend, Manuela, 1951-10-18, F, HANDBALL
Amsel, Marco, 1928-11-18, M, FUSSBALL
Adler, Maik, 1934-11-18, M, TURNEN
Ackerman, Marko, 1962-01-21, M, FUSSBALL
Amsel, Monika, 1918-04-22, F, REITEN
Abendroth, Melanie, 1920-04-22, F, RUDERN
Abendroth, Mathias, 1936-04-22, M, TANZEN
Abendroth, Marina, 1998-08-23, F, RUDERN
Adler, Martin, 1971-09-23, M, FUSSBALL
Austerlitz, Martin, 1975-09-23, M, HANDBALL
Ackermann, Marco, 1983-09-23, M, REITEN
Abendroth, Mario, 1976-11-23, M, SCHWIMMEN
Abendroth, Marko, 1999-02-27, M, LEICHTATHLETIK
Abendroth, Marina, 1969-04-27, F, HANDBALL
Ackermann, Melanie, 1918-06-28, F, SCHWIMMEN
Achen, Martin, 1942-06-28, M, TANZEN
Amsel, Michael, 1958-06-28, M, RADSPORT
Abt, Mathias, 1965-06-28, M, LEICHTATHLETIK
Ackermann, Martina, 1937-07-28, F, RADSPORT
Amsel, Marco, 1944-07-28, M, HANDBALL
Aachen, Matthias, 1954-07-28, M, REITEN
Austerlitz, Martina, 1996-07-28, F, FUSSBALL
Achen, Max, 1951-09-28, M, SCHWIMMEN
Amsel, Max, 1959-09-28, M, HANDBALL
Ackerman, Monika, 1943-12-29, F, FECHTEN
Abend, Michael, 1948-12-29, M, SCHWIMMEN
Abendroth, Nicole, 1993-04-03, F, REITEN
Ackermann, Nicole, 1945-06-03, F, FUSSBALL
Adler, Nadine, 1988-11-04, F, TURNEN
Ackerman, Niklas, 1979-04-08, M, TURNEN
Amsel, Niklas, 1997-07-09, M, RADSPORT
Adler, Nicole, 1980-05-19, F, HANDBALL
Ackermann, Nicole, 1947-02-24, F, FECHTEN
Amsel, Nicole, 1929-06-25, F, REITEN
Adler, Nadine, 1947-06-25, F, HANDBALL
Austerlitz, Philipp, 1944-03-02, M, REITEN
Ackerman, Paul, 1921-05-03, M, FECHTEN
Achen, Phillipp, 1987-06-03, M, LEICHTATHLETIK
Austerlitz, Philipp, 1930-07-03, M, RUDERN
Aachen, Paul, 1945-08-03, M, SCHWIMMEN
Abt, Philipp, 1920-10-04, M, FUSSBALL
Amsel, Paul, 1955-10-04, M, HANDBALL
Aachen, Petra, 1978-06-08, F, REITEN
Austerlitz, Philipp, 1960-10-09, M, TURNEN
Abend, Peter, 1999-01-13, M, RUDERN
Abend, Peter, 1920-07-14, M, RUDERN
Abend, Paul, 1924-07-14, M, HANDBALL
Abendroth, Paul, 1926-07-14, M, FECHTEN
Ackermann, Patrick, 1971-07-14, M, FECHTEN
Abendroth, Philipp, 1934-05-19, M, TANZEN
Amsel, Petra, 1983-10-20, F, LEICHTATHLETIK
Ackermann, Peter, 1950-11-20, M, TURNEN
Amsel, Paul, 1967-08-25, M, HANDBALL
Abendroth, Peter, 1963-10-25, M, REITEN
Abt, Peter, 1921-06-30, M, FUSSBALL
Ackermann, Petra, 1921-08-30, F, FUSSBALL
Aachen, Philipp, 1944-08-30, M, FUSSBALL
Austerlitz, Ralph, 1970-04-02, M, HANDBALL
Achen, Ralph, 1936-02-07, M, REITEN
Amsel, Ralf, 1917-10-09, M, HANDBALL
Amsel, Ralf, 1929-10-09, M, REITEN
Aachen, Rene, 1985-11-09, M, FECHTEN
Abend, Ralph, 1954-05-13, M, HANDBALL
Abt, Robert, 1964-05-13, M, FECHTEN
Adler, Ralph, 1953-10-14, M, HANDBALL
Abend, Ralph, 1940-08-19, M, FECHTEN
Adler, Robert, 1933-11-20, M, SCHWIMMEN
Abt, Rene, 1937-09-25, M, RADSPORT
Abendroth, Rene, 1943-11-25, M, FECHTEN
Amsel, Ralf, 1960-11-25, M, FUSSBALL
Abendroth, Ralph, 1972-11-25, M, TANZEN
Abt, Ralph, 1924-07-30, M, REITEN
Abendroth, Rene, 1997-09-30, M, RADSPORT
Aachen, Sven, 1997-11-01, M, TURNEN
Amsel, Sarah, 1965-02-04, F, TANZEN
Adler, Stefanie, 1947-04-05, F, SCHWIMMEN
Ackermann, Stephanie, 1966-06-05, F, RUDERN
Abt, Silke, 1922-07-05, F, TURNEN
Ackerman, Stefanie, 1947-07-05, F, TURNEN
Abt, Sara, 1961-09-06, F, TURNEN
Amsel, Stefanie, 1977-09-06, F, RUDERN
Abend, Sabine, 1943-11-06, F, HANDBALL
Aachen, Susanne, 1996-11-06, F, FUSSBALL
Ackermann, Sara, 1925-04-10, F, FECHTEN
Abendroth, Sandra, 1949-05-10, F, FUSSBALL
Adler, Sophie, 1938-07-11, F, LEICHTATHLETIK
Ackerman, Sabine, 1975-07-11, F, FECHTEN
Abt, Susanne, 1984-12-12, F, HANDBALL
Abt, Sophia, 1978-02-15, F, FECHTEN
Abend, Silke, 1932-03-15, F, RADSPORT
Adler, Sandra, 1982-03-15, F, TURNEN
Ackerman, Simone, 1934-05-16, F, TANZEN
Amsel, Sara, 1954-07-16, F, HANDBALL
Ackerman, Silke, 1993-07-16, F, TANZEN
Amsel, Sebastian, 1934-08-16, M, RUDERN
Achen, Sven, 1954-10-17, M, RUDERN
Abend, Simone, 1925-05-21, F, REITEN
Achen, Swen, 1949-08-22, M, FECHTEN
Ackermann, Sara, 1924-10-22, F, LEICHTATHLETIK
Amsel, Sarah, 1927-11-22, F, SCHWIMMEN
Abendroth, Sophie, 1982-01-26, F, FECHTEN
Achen, Stefan, 1931-02-26, M, TURNEN
Aachen, Sophia, 1950-02-26, F, LEICHTATHLETIK
Ackerman, Sophia, 1958-02-26, F, FUSSBALL
Achen, Sabrina, 1997-02-26, F, LEICHTATHLETIK
Adler, Stefanie, 1918-03-26, F, TANZEN
Adler, Sebastian, 1943-04-26, M, TURNEN
Ackerman, Sandra, 1972-04-26, F, LEICHTATHLETIK
Abend, Stefan, 1953-09-27, M, FECHTEN
Amsel, Sophia, 1929-01-31, F, TANZEN
Ackerman, Tanja, 1945-10-03, F, REITEN
Austerlitz, Tim, 1924-11-03, M, REITEN
Abendroth, Thomas, 1925-02-07, M, SCHWIMMEN
Achen, Tim, 1932-08-08, M, TURNEN
Austerlitz, Tobias, 1992-08-08, M, REITEN
Amsel, Torsten, 1993-08-08, M, SCHWIMMEN
Austerlitz, Tobias, 1941-09-08, M, REITEN
Adler, Tobias, 1927-11-09, M, LEICHTATHLETIK
Ackerman, Torsten, 1955-11-09, M, HANDBALL
Ackermann, Tim, 1924-12-09, M, RUDERN
Adler, Torsten, 1967-12-09, M, TANZEN
Amsel, Tom, 1924-02-12, M, HANDBALL
Achen, Thorsten, 1918-03-18, M, FUSSBALL
Aachen, Thorsten, 1924-09-19, M, HANDBALL
Abt, Torsten, 1952-10-19, M, REITEN
Achen, Thorsten, 1959-10-19, M, FUSSBALL
Ackerman, Thomas, 1928-02-23, M, LEICHTATHLETIK
Aachen, Tom, 1945-06-24, M, SCHWIMMEN
Abendroth, Torsten, 1963-07-24, M, RUDERN
Ackerman, Tobias, 1934-12-25, M, HANDBALL
Amsel, Thomas, 1944-01-28, M, REITEN
Achen, Thorsten, 1993-01-28, M, HANDBALL
Ackermann, Thomas, 1922-04-29, M, LEICHTATHLETIK
Abend, Tom, 1933-04-29, M, RUDERN
Abt, Tanja, 1939-04-29, F, FECHTEN
Aachen, Tom, 1957-05-29, M, TANZEN
Adler, Tobias, 1967-11-30, M, HANDBALL
Achen, Uta, 1970-03-04, F, RADSPORT
Abend, Ute, 1978-06-05, F, FUSSBALL
Adler, Ulrich, 1994-12-06, M, SCHWIMMEN
Amsel, Ursula, 1991-01-09, F, LEICHTATHLETIK
Abend, Uta, 1980-10-11, F, REITEN
Austerlitz, Ute, 1936-02-15, F, SCHWIMMEN
Adler, Ursula, 1945-02-15, F, SCHWIMMEN
Ackerman, Uwe, 1923-04-15, M, REITEN
Abt, Ulrike, 1919-12-17, F, REITEN
Aachen, Uwe, 1987-01-20, M, TURNEN
Austerlitz, Ursula, 1936-07-21, F, TANZEN
Austerlitz, Ute, 1979-07-21, F, REITEN
Abend, Ursula, 1966-10-22, F, TURNEN
Abt, Uwe, 1987-08-27, M, SCHWIMMEN
Adler, Uwe, 1955-01-31, M, LEICHTATHLETIK
Ackermann, Ulrich, 1932-03-31, M, LEICHTATHLETIK
Abend, Ulrike, 1941-03-31, F, LEICHTATHLETIK
Abend, Ursula, 1982-03-31, F, RADSPORT
Ackerman, Vanessa, 1945-10-03, F, SCHWIMMEN
Aachen, Vanessa, 1992-09-08, F, LEICHTATHLETIK
Abend, Vanessa, 1944-08-13, F, REITEN
Austerlitz, Vanessa, 1922-07-29, F, REITEN
Ackermann, Vanessa, 1926-12-30, F, FECHTEN
Abendroth, Wolfgang, 1990-01-14, M, RUDERN
Abt, Wolfgang, 1929-05-15, M, RADSPORT
Ackerman, Wolfgang, 1951-02-25, M, FECHTEN
Amsel, Wolfgang, 1971-07-26, M, FUSSBALL
Achen, Yvonne, 1991-07-04, F, REITEN
Abendroth, Yvonne, 1939-11-27, F, HANDBALL
Bayer, Angelika, 1921-02-02, F, REITEN
Brauer, Annett, 1945-02-02, F, RUDERN
Barth, Annett, 1960-02-02, F, TANZEN
Becker, Anke, 1962-02-02, F, SCHWIMMEN
Baier, Angelika, 1982-02-02, F, TURNEN
Bauer, Anna, 1929-07-03, F, RUDERN
Bergmann, Andreas, 1932-07-03, M, REITEN
Beckenbauer, Angelika, 1937-07-03, F, FECHTEN
Baader, Andreas, 1946-07-03, M, HANDBALL
Boehm, Anna, 1957-07-03, F, REITEN
Bayer, Annett, 1964-07-03, F, REITEN
Bader, Andrea, 1974-07-03, F, HANDBALL
Boehm, Anja, 1977-10-03, F, RUDERN
Braun, Anja, 1948-12-04, F, RADSPORT
Busch, Antje, 1960-12-04, F, TANZEN
Bieber, Annett, 1956-01-07, F, FECHTEN
Braun, Alexander, 1960-01-07, M, TANZEN
Baumgaertner, Angelika, 1966-01-07, F, TANZEN
Bader, Anke, 1993-01-07, F, RUDERN
Baier, Anne, 1942-02-07, F, SCHWIMMEN
Berg, Andreas, 1952-02-07, M, TURNEN
Buerger, Andreas, 1997-03-07, M, FECHTEN
Baader, Anne, 1926-05-08, F, HANDBALL
Braun, Anke, 1948-06-08, F, FUSSBALL
Baumgartner, Anja, 1988-06-08, F, SCHWIMMEN
Baader, Anke, 1999-06-08, F, TANZEN
Bader, Angelika, 1994-08-08, F, FUSSBALL
Bergmann, Angelika, 1955-10-09, F, RADSPORT
Brandt, Antje, 1956-10-09, F, TURNEN
Buerger, Antje, 1940-11-09, F, LEICHTATHLETIK
Brandt, Anne, 1950-11-09, F, TURNEN
Baumgartner, Andrea, 1950-01-12, F, FECHTEN
Bauer, Anke, 1982-01-12, F, RUDERN
Bauer, Annett, 1925-03-13, F, FUSSBALL
Beckenbauer, Angelika, 1952-03-13, F, SCHWIMMEN
Baumgaertner, Andrea, 1923-04-13, F, RUDERN
Busch, Antje, 1951-04-13, F, TURNEN
Baecker, Annett, 1975-04-13, F, LEICHTATHLETIK
Beyer, Anna, 1980-04-13, F, REITEN
Busch, Annett, 1982-04-13, F, RUDERN
Bieber, Annett, 1987-04-13, F, TANZEN
Beich, Annett, 1937-06-13, F, FUSSBALL
Baumgaertner, Annett, 1943-06-13, F, FECHTEN
Bader, Antje, 1967-06-13, F, SCHWIMMEN
Bauer, Annett, 1928-08-14, F, FUSSBALL
Bohm, Antje, 1941-08-14, F, SCHWIMMEN
Baecker, Anna, 1948-08-14, F, REITEN
Bumgarner, Anke, 1930-09-14, F, TURNEN
Blau, Annett, 1979-09-14, F, TURNEN
Brandt, Annett, 1996-09-14, F, REITEN
Beckenbauer, Antje, 1962-11-14, F, TURNEN
Bergmann, Anke, 1975-11-14, F, SCHWIMMEN
Brauer, Anne, 1983-11-14, F, REITEN
Braun, Angelika, 1993-11-14, F, RADSPORT
Beyer, Andrea, 1919-01-18, F, SCHWIMMEN
Berg, Andreas, 1954-01-18, M, SCHWIMMEN
Boehm, Alexander, 1966-01-18, M, FECHTEN
Bieber, Antje, 1934-02-18, F, RUDERN
Brauer, Angelika, 1940-04-18, F, FUSSBALL
Baumgartner, Anke, 1950-04-18, F, SCHWIMMEN
Beich, Angelika, 1953-04-18, F, HANDBALL
Bar, Andrea, 1946-07-19, F, FUSSBALL
Beich, Alexander, 1962-09-19, M, LEICHTATHLETIK
Bar, Anke, 1920-11-20, F, HANDBALL
Bauer, Antje, 1974-11-20, F, TANZEN
Boehm, Anne, 1987-11-20, F, SCHWIMMEN
Bieber, Anna, 1946-12-20, F, SCHWIMMEN
Baier, Alexander, 1971-12-20, M, TANZEN
Boehm, Anna, 1971-01-23, F, HANDBALL
Bergmann, Andreas, 1990-01-23, M, HANDBALL
Brandt, Anna, 1936-02-23, F, FECHTEN
Baader, Angelika, 1940-02-23, F, RADSPORT
Beyer, Anne, 1959-02-23, F, RADSPORT
Beike, Angelika, 1968-02-23, F, FECHTEN
Biermann, Andrea, 1972-02-23, F, LEICHTATHLETIK
Berg, Andrea, 1928-04-24, F, HANDBALL
Becker, Anke, 1930-04-24, F, HANDBALL
Braun, Antje, 1954-04-24, F, TURNEN
Baier, Antje, 1962-04-24, F, SCHWIMMEN
Beyer, Andreas, 1968-04-24, M, SCHWIMMEN
Brauer, Andrea, 1984-04-24, F, RUDERN
Baier, Andreas, 1932-05-24, M, RADSPORT
Burger, Anne, 1997-05-24, F, RADSPORT
Baumgaertner, Anna, 1930-07-24, F, FECHTEN
Bumgarner, Antje, 1939-07-24, F, LEICHTATHLETIK
Burger, Alexander, 1983-07-24, M, TANZEN
Baum, Antje, 1934-09-25, F, HANDBALL
Bar, Andreas, 1958-09-25, M, TANZEN
Bach, Anne, 1935-12-25, F, FECHTEN
Bauer, Andrea, 1963-12-25, F, LEICHTATHLETIK
Baer, Anne, 1983-12-25, F, TURNEN
Bauer, Anne, 1920-03-29, F, RUDERN
Bosch, Alexander, 1983-04-29, M, SCHWIMMEN
Busch, Andreas, 1990-05-29, M, SCHWIMMEN
Bumgarner, Angelika, 1994-05-29, F, FUSSBALL
Baum, Angelika, 1918-07-30, F, TANZEN
Beyer, Angelika, 1934-07-30, F, FECHTEN
Baader, Antje, 1963-08-30, F, SCHWIMMEN
Baer, Alexander, 1973-08-30, M, SCHWIMMEN
Bader, Andreas, 1942-10-30, M, RADSPORT
Bayer, Annett, 1958-10-30, F, RADSPORT
Beich, Anja, 1971-10-30, F, REITEN
Biermann, Anna, 1974-10-30, F, RUDERN
Baader, Andrea, 1976-10-30, F, FECHTEN
Busch, Anne, 1936-12-31, F, SCHWIMMEN
Bauer, Anke, 1959-12-31, F, FUSSBALL
Barth, Anja, 1996-12-31, F, FECHTEN
Becker, Barbara, 1952-02-04, F, REITEN
